
Trajectories
120
,,Head:RForeHead,,,Head:RTemple,,,Head:LForeHead,,,Head:LTemple,,,Head:REye,,,Head:LEye,,,CalibrationPane:DLabCal1,,,CalibrationPane:DLabCal2,,,CalibrationPane:DLabCal3,,,CalibrationPane:DLabCal4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
62,0,-129.614,213.227,1695.57,-221.837,206.443,1642.9,-87.63,326.953,1704.76,-153.946,401.877,1655.85,-105.826,234.838,1616.29,-76.0022,312.471,1626,412.008,225.986,1634.85,324.453,-18.2085,1635.96,317.299,-16.5536,1433.47,405.555,226.756,1434.31
63,0,-129.604,213.212,1695.56,-221.839,206.421,1642.9,-87.6142,326.921,1704.75,-153.928,401.849,1655.86,-105.816,234.815,1616.28,-75.9897,312.441,1625.99,412.008,225.986,1634.86,324.453,-18.2148,1635.97,317.288,-16.5534,1433.49,405.541,226.743,1434.33
64,0,-129.58,213.194,1695.55,-221.826,206.406,1642.91,-87.5984,326.896,1704.74,-153.895,401.845,1655.87,-105.81,234.798,1616.27,-76.0048,312.43,1625.99,411.991,225.98,1634.87,324.445,-18.2086,1635.99,317.285,-16.5481,1433.48,405.548,226.756,1434.34
65,0,-129.573,213.176,1695.55,-221.82,206.389,1642.9,-87.5887,326.88,1704.73,-153.912,401.832,1655.87,-105.804,234.797,1616.26,-75.9859,312.426,1625.98,412.004,225.995,1634.86,324.433,-18.1957,1635.99,317.285,-16.5512,1433.48,405.552,226.748,1434.31
66,0,-129.563,213.159,1695.54,-221.818,206.375,1642.9,-87.5765,326.861,1704.72,-153.908,401.82,1655.87,-105.821,234.792,1616.28,-75.9761,312.415,1625.98,411.997,225.987,1634.87,324.429,-18.2057,1636,317.284,-16.5426,1433.48,405.55,226.761,1434.32
67,0,-129.555,213.16,1695.54,-221.802,206.358,1642.91,-87.57,326.848,1704.72,-153.909,401.795,1655.86,-105.821,234.798,1616.27,-75.994,312.412,1625.97,412.003,226.005,1634.86,324.426,-18.2013,1636.01,317.277,-16.5352,1433.49,405.533,226.769,1434.35
68,0,-129.539,213.156,1695.53,-221.796,206.352,1642.9,-87.5582,326.847,1704.7,-153.896,401.776,1655.84,-105.792,234.783,1616.28,-75.9677,312.404,1625.97,411.985,226.006,1634.87,324.403,-18.1881,1636.02,317.27,-16.5182,1433.49,405.538,226.772,1434.32
69,0,-129.528,213.154,1695.54,-221.777,206.33,1642.9,-87.5578,326.834,1704.69,-153.892,401.761,1655.83,-105.777,234.746,1616.28,-75.9859,312.389,1625.96,412.006,226,1634.86,324.405,-18.1961,1636.02,317.299,-16.5341,1433.48,405.532,226.757,1434.33
70,0,-129.53,213.138,1695.54,-221.781,206.314,1642.91,-87.5574,326.825,1704.69,-153.899,401.75,1655.83,-105.773,234.731,1616.26,-75.9885,312.366,1625.95,411.992,225.998,1634.87,324.405,-18.1996,1636.03,317.283,-16.5407,1433.48,405.533,226.762,1434.32
71,0,-129.524,213.129,1695.55,-221.77,206.297,1642.91,-87.547,326.811,1704.7,-153.908,401.735,1655.83,-105.751,234.713,1616.28,-75.986,312.357,1625.95,411.985,226.012,1634.87,324.411,-18.1937,1636.02,317.285,-16.538,1433.48,405.543,226.771,1434.32
72,0,-129.522,213.098,1695.55,-221.776,206.281,1642.91,-87.5586,326.788,1704.72,-153.891,401.71,1655.84,-105.749,234.693,1616.28,-75.9664,312.342,1625.95,411.992,226.016,1634.87,324.405,-18.1888,1636.03,317.278,-16.5253,1433.49,405.525,226.776,1434.34
73,0,-129.539,213.063,1695.55,-221.779,206.257,1642.91,-87.5661,326.752,1704.73,-153.868,401.672,1655.85,-105.755,234.667,1616.29,-75.9837,312.313,1625.96,411.972,226.007,1634.86,324.4,-18.1823,1636.02,317.28,-16.5253,1433.49,405.528,226.775,1434.34
74,0,-129.538,213.012,1695.54,-221.791,206.235,1642.9,-87.5603,326.709,1704.74,-153.85,401.652,1655.87,-105.75,234.638,1616.27,-75.9781,312.283,1625.96,411.976,226.004,1634.86,324.394,-18.1844,1636.01,317.282,-16.541,1433.49,405.535,226.765,1434.33
75,0,-129.562,212.972,1695.54,-221.817,206.21,1642.89,-87.5564,326.648,1704.74,-153.86,401.58,1655.87,-105.758,234.609,1616.25,-75.988,312.239,1625.96,411.98,226.011,1634.86,324.383,-18.1877,1636.02,317.291,-16.5391,1433.48,405.544,226.767,1434.33
76,0,-129.597,212.929,1695.52,-221.852,206.192,1642.89,-87.5491,326.596,1704.74,-153.831,401.542,1655.88,-105.79,234.575,1616.24,-75.9677,312.193,1625.97,411.969,226.009,1634.87,324.384,-18.1828,1636.03,317.301,-16.5467,1433.48,405.541,226.773,1434.32
77,0,-129.595,212.878,1695.5,-221.88,206.178,1642.88,-87.5264,326.531,1704.72,-153.77,401.515,1655.89,-105.809,234.525,1616.22,-76.0095,312.13,1625.94,411.984,226.008,1634.86,324.388,-18.1873,1636.03,317.31,-16.5516,1433.48,405.553,226.768,1434.33
78,0,-129.586,213.08,1695.24,-221.915,206.176,1642.88,-87.5183,326.475,1704.71,-153.74,401.472,1655.88,-105.849,234.468,1616.21,-76.033,312.07,1625.92,411.984,226.025,1634.85,324.388,-18.1819,1636.02,317.311,-16.5566,1433.46,405.571,226.765,1434.32
79,0,-129.658,212.863,1695.43,-221.954,206.162,1642.89,-87.506,326.436,1704.7,-153.662,401.407,1655.86,-105.874,234.429,1616.18,-76.0685,312.022,1625.91,411.983,226.017,1634.86,324.381,-18.1866,1636.03,317.321,-16.5636,1433.48,405.573,226.763,1434.33
80,0,-129.683,212.826,1695.43,-221.979,206.147,1642.88,-87.4876,326.387,1704.7,-153.635,401.379,1655.85,-105.879,234.371,1616.16,-76.0927,311.968,1625.87,411.98,226.012,1634.86,324.396,-18.1839,1636.03,317.317,-16.5447,1433.49,405.602,226.755,1434.32
81,0,-129.722,212.805,1695.43,-222.011,206.158,1642.89,-87.4778,326.356,1704.69,-153.61,401.359,1655.85,-105.925,234.348,1616.16,-76.0998,311.921,1625.87,411.989,226.006,1634.84,324.394,-18.1864,1636.03,317.31,-16.5526,1433.47,405.579,226.757,1434.33
