rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:02.804	1440787444150					236.752	170.464
00:00:02.813	1440787444159						
00:00:02.818	1440787444164	215.158	165.223	195.005	161.997		
00:00:02.821	1440787444167					235.311	168.449
00:00:02.835	1440787444181	213.63	161.471	193.426	158.327		
00:00:02.838	1440787444184					233.834	164.616
00:00:02.847	1440787444193						
00:00:02.851	1440787444197	211.981	159.354	191.68	156.063		
00:00:02.854	1440787444200					232.281	162.645
00:00:02.868	1440787444214	210.321	156.271	189.958	152.23		
00:00:02.871	1440787444217					230.685	160.312
00:00:02.880	1440787444226						
00:00:02.885	1440787444231	208.8	154.744	188.351	150.262		
00:00:02.888	1440787444234					229.248	159.226
00:00:02.901	1440787444247	209.491	153.118	188.671	148.17		
00:00:02.904	1440787444250					230.311	158.065
00:00:02.913	1440787444259						
00:00:02.918	1440787444264	212.764	153.689	192.597	148.719		
00:00:02.921	1440787444267					232.931	158.66
00:00:02.935	1440787444281	211.435	151.017	191.354	145.909		
00:00:02.938	1440787444284					231.517	156.125
00:00:02.947	1440787444293						
00:00:02.951	1440787444297	210.281	150.157	190.178	144.619		
00:00:02.954	1440787444300					230.384	155.696
00:00:02.968	1440787444314	209.229	147.91	188.991	142.039		
00:00:02.971	1440787444317					229.466	153.781
00:00:02.980	1440787444326						
00:00:02.985	1440787444331	208.268	147.207	188	141.042		
00:00:02.988	1440787444334					228.535	153.371
00:00:03.001	1440787444347	207.373	145.267	187.127	138.883		
00:00:03.004	1440787444350					227.619	151.65
00:00:03.013	1440787444359						
00:00:03.018	1440787444364	206.396	144.527	186.089	137.974		
00:00:03.021	1440787444367					226.703	151.08
00:00:03.035	1440787444381	205.593	142.819	185.351	136.081		
00:00:03.038	1440787444384					225.834	149.557
00:00:03.047	1440787444393						
00:00:03.051	1440787444397	205.139	142.618	184.807	135.534		
00:00:03.054	1440787444400					225.471	149.701
00:00:03.068	1440787444414	204.444	141.319	184.069	134.04		
00:00:03.071	1440787444417					224.82	148.597
00:00:03.080	1440787444426						
00:00:03.085	1440787444431	205.38	141.921	184.99	134.621		
00:00:03.088	1440787444434					225.77	149.221
00:00:03.101	1440787444447	205.227	141.178	185.028	133.838		
00:00:03.104	1440787444450					225.427	148.518
00:00:03.113	1440787444459						
00:00:03.118	1440787444464	204.816	141.167	184.566	133.728		
00:00:03.121	1440787444467					225.065	148.606
00:00:03.135	1440787444481	204.544	140.201	184.339	132.777		
00:00:03.138	1440787444484					224.749	147.625
00:00:03.147	1440787444493						
00:00:03.151	1440787444497	204.158	140.369	183.865	132.931		
00:00:03.154	1440787444500					224.451	147.807
00:00:03.168	1440787444514	203.979	139.498	183.728	131.989		
00:00:03.171	1440787444517					224.23	147.006
00:00:03.180	1440787444526						
00:00:03.185	1440787444531	203.751	139.777	183.363	132.231		
00:00:03.188	1440787444534					224.14	147.323
00:00:03.201	1440787444547	203.523	138.946	183.17	131.414		
00:00:03.204	1440787444550					223.876	146.477
00:00:03.213	1440787444559						
00:00:03.218	1440787444564	203.37	139.411	182.948	131.859		
00:00:03.221	1440787444567					223.792	146.963
00:00:03.235	1440787444581	203.125	138.539	182.666	130.962		
00:00:03.238	1440787444584					223.583	146.116
00:00:03.247	1440787444593						
00:00:03.251	1440787444597	202.941	139.061	182.535	131.425		
00:00:03.254	1440787444600					223.348	146.697
00:00:03.268	1440787444614	202.8	138.383	182.331	130.738		
00:00:03.271	1440787444617					223.269	146.028
00:00:03.280	1440787444626						
00:00:03.285	1440787444631	202.701	138.955	182.259	131.133		
00:00:03.288	1440787444634					223.143	146.776
00:00:03.301	1440787444647	202.738	138.43	182.276	130.624		
00:00:03.304	1440787444650					223.2	146.236
00:00:03.313	1440787444659						
00:00:03.318	1440787444664	203.271	139.273	182.957	131.401		
00:00:03.321	1440787444667					223.586	147.145
00:00:03.335	1440787444681	202.986	138.401	182.589	130.511		
00:00:03.338	1440787444684					223.383	146.292
00:00:03.346	1440787444692						
00:00:03.347	1440787444693						
00:00:03.351	1440787444697	202.991	139.07	182.511	131.072		
00:00:03.354	1440787444700					223.47	147.069
00:00:03.368	1440787444714	202.908	138.388	182.526	130.445		
00:00:03.371	1440787444717					223.29	146.332
00:00:03.380	1440787444726						
00:00:03.385	1440787444731	202.877	139.02	182.328	130.931		
00:00:03.388	1440787444734					223.427	147.108
00:00:03.401	1440787444747	202.605	138.301	182.16	130.267		
00:00:03.404	1440787444750					223.05	146.335
00:00:03.413	1440787444759						
00:00:03.418	1440787444764	202.536	138.877	182.033	130.832		
00:00:03.421	1440787444767					223.04	146.922
00:00:03.435	1440787444781	202.439	138.13	181.954	130.112		
00:00:03.438	1440787444784					222.923	146.148
00:00:03.447	1440787444793						
00:00:03.451	1440787444797	202.469	138.846	182.004	130.843		
00:00:03.454	1440787444800					222.934	146.849
00:00:03.468	1440787444814	202.304	138.188	181.813	130.226		
00:00:03.471	1440787444817					222.795	146.15
00:00:03.480	1440787444826						
00:00:03.485	1440787444831	202.324	138.81	181.841	130.815		
00:00:03.488	1440787444834					222.807	146.805
00:00:03.501	1440787444847	202.345	138.22	181.831	130.317		
00:00:03.504	1440787444850					222.858	146.122
00:00:03.513	1440787444859						
00:00:03.518	1440787444864	202.414	138.856	181.855	130.95		
00:00:03.521	1440787444867					222.974	146.762
00:00:03.535	1440787444881	202.399	138.178	181.917	130.419		
00:00:03.538	1440787444884					222.88	145.936
00:00:03.547	1440787444893						
00:00:03.551	1440787444897	202.392	138.859	181.9	131.08		
00:00:03.554	1440787444900					222.884	146.638
00:00:03.568	1440787444914	202.5	138.317	181.975	130.625		
